"Other effects of air pressure and water pressure, sequela",T708
"Unspecified car occupant injured in collision with other nonmotor vehicle in nontraffic accident, subsequent encounter",V463
"Unspecified car occupant injured in collision with other nonmotor vehicle in nontraffic accident, sequela",V463
"Person boarding or alighting a car injured in collision with other nonmotor vehicle, initial encounter",V464
"Person boarding or alighting a car injured in collision with other nonmotor vehicle, subsequent encounter",V464
"Person boarding or alighting a car injured in collision with other nonmotor vehicle, sequela",V464
"Car driver injured in collision with other nonmotor vehicle in traffic accident, initial encounter",V465
"Car driver injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter",V465
"Car driver injured in collision with other nonmotor vehicle in traffic accident, sequela",V465
"Car passenger injured in collision with other nonmotor vehicle in traffic accident, initial encounter",V466
"Car passenger injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter",V466
"Car passenger injured in collision with other nonmotor vehicle in traffic accident, sequela",V466
"Person on outside of car injured in collision with other nonmotor vehicle in traffic accident, initial encounter",V467
"Person on outside of car injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter",V467
"Person on outside of car injured in collision with other nonmotor vehicle in traffic accident, sequela",V467
"Unspecified car occupant injured in collision with other nonmotor vehicle in traffic accident, initial encounter",V469
"Unspecified car occupant injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter",V469
"Unspecified car occupant injured in collision with other nonmotor vehicle in traffic accident, sequela",V469
"Driver of sport utility vehicle injured in collision with fixed or stationary object in nontraffic accident, initial encounter",V470
"Driver of sport utility vehicle injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter",V470
"Driver of sport utility vehicle injured in collision with fixed or stationary object in nontraffic accident, sequela",V470
"Driver of other type car injured in collision with fixed or stationary object in nontraffic accident, initial encounter",V470
"Driver of other type car injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter",V470
"Driver of other type car injured in collision with fixed or stationary object in nontraffic accident, sequela",V470
"Passenger of sport utility vehicle injured in collision with fixed or stationary object in nontraffic accident, initial encounter",V471
"Passenger of sport utility vehicle injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter",V471
"Passenger of sport utility vehicle injured in collision with fixed or stationary object in nontraffic accident, sequela",V471
"Passenger of other type car injured in collision with fixed or stationary object in nontraffic accident, initial encounter",V471
"Passenger of other type car injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter",V471
"Passenger of other type car injured in collision with fixed or stationary object in nontraffic accident, sequela",V471
"Person on outside of car injured in collision with fixed or stationary object in nontraffic accident, initial encounter",V472
"Person on outside of car injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter",V472
"Person on outside of car injured in collision with fixed or stationary object in nontraffic accident, sequela",V472
"Unspecified occupant of sport utility vehicle injured in collision with fixed or stationary object in nontraffic accident, initial encounter",V473
"Unspecified occupant of sport utility vehicle injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter",V473
"Unspecified occupant of sport utility vehicle injured in collision with fixed or stationary object in nontraffic accident, sequela",V473
"Unspecified occupant of other type car injured in collision with fixed or stationary object in nontraffic accident, initial encounter",V473
"Unspecified occupant of other type car injured in collision with fixed or stationary object in nontraffic accident, subsequent encounter",V473
"Unspecified occupant of other type car injured in collision with fixed or stationary object in nontraffic accident, sequela",V473
"Person boarding or alighting a car injured in collision with fixed or stationary object, initial encounter",V474
"Person boarding or alighting a car injured in collision with fixed or stationary object, subsequent encounter",V474
"Person boarding or alighting a car injured in collision with fixed or stationary object, sequela",V474
"Driver of sport utility vehicle injured in collision with fixed or stationary object in traffic accident, initial encounter",V475
"Driver of sport utility vehicle injured in collision with fixed or stationary object in traffic accident, subsequent encounter",V475
"Driver of sport utility vehicle injured in collision with fixed or stationary object in traffic accident, sequela",V475
"Driver of other type car injured in collision with fixed or stationary object in traffic accident, initial encounter",V475
"Driver of other type car injured in collision with fixed or stationary object in traffic accident, subsequent encounter",V475
"Driver of other type car injured in collision with fixed or stationary object in traffic accident, sequela",V475
"Passenger of sport utility vehicle injured in collision with fixed or stationary object in traffic accident, initial encounter",V476
"Passenger of sport utility vehicle injured in collision with fixed or stationary object in traffic accident, subsequent encounter",V476
"Passenger of sport utility vehicle injured in collision with fixed or stationary object in traffic accident, sequela",V476
"Passenger of other type car injured in collision with fixed or stationary object in traffic accident, initial encounter",V476
"Passenger of other type car injured in collision with fixed or stationary object in traffic accident, subsequent encounter",V476
"Passenger of other type car injured in collision with fixed or stationary object in traffic accident, sequela",V476
"Person on outside of car injured in collision with fixed or stationary object in traffic accident, initial encounter",V477
"Person on outside of car injured in collision with fixed or stationary object in traffic accident, subsequent encounter",V477
"Person on outside of car injured in collision with fixed or stationary object in traffic accident, sequela",V477
"Unspecified occupant of sport utility vehicle injured in collision with fixed or stationary object in traffic accident, initial encounter",V479
"Unspecified occupant of sport utility vehicle injured in collision with fixed or stationary object in traffic accident, subsequent encounter",V479
"Unspecified occupant of sport utility vehicle injured in collision with fixed or stationary object in traffic accident, sequela",V479
"Unspecified occupant of other type car injured in collision with fixed or stationary object in traffic accident, initial encounter",V479
"Unspecified occupant of other type car injured in collision with fixed or stationary object in traffic accident, subsequent encounter",V479
"Unspecified occupant of other type car injured in collision with fixed or stationary object in traffic accident, sequela",V479
"Car driver injured in noncollision transport accident in nontraffic accident, initial encounter",V480
"Car driver injured in noncollision transport accident in nontraffic accident, subsequent encounter",V480
"Car driver injured in noncollision transport accident in nontraffic accident, sequela",V480
"Car passenger injured in noncollision transport accident in nontraffic accident, initial encounter",V481
"Car passenger injured in noncollision transport accident in nontraffic accident, subsequent encounter",V481
"Car passenger injured in noncollision transport accident in nontraffic accident, sequela",V481
"Person on outside of car injured in noncollision transport accident in nontraffic accident, initial encounter",V482
"Person on outside of car injured in noncollision transport accident in nontraffic accident, subsequent encounter",V482
"Person on outside of car injured in noncollision transport accident in nontraffic accident, sequela",V482
"Unspecified car occupant injured in noncollision transport accident in nontraffic accident, initial encounter",V483
"Unspecified car occupant injured in noncollision transport accident in nontraffic accident, subsequent encounter",V483
"Unspecified car occupant injured in noncollision transport accident in nontraffic accident, sequela",V483
"Person boarding or alighting a car injured in noncollision transport accident, initial encounter",V484
"Person boarding or alighting a car injured in noncollision transport accident, subsequent encounter",V484
"Person boarding or alighting a car injured in noncollision transport accident, sequela",V484
"Car driver injured in noncollision transport accident in traffic accident, initial encounter",V485
"Car driver injured in noncollision transport accident in traffic accident, subsequent encounter",V485
"Car driver injured in noncollision transport accident in traffic accident, sequela",V485
"Car passenger injured in noncollision transport accident in traffic accident, initial encounter",V486
"Car passenger injured in noncollision transport accident in traffic accident, subsequent encounter",V486
"Car passenger injured in noncollision transport accident in traffic accident, sequela",V486
"Person on outside of car injured in noncollision transport accident in traffic accident, initial encounter",V487
"Person on outside of car injured in noncollision transport accident in traffic accident, subsequent encounter",V487
"Person on outside of car injured in noncollision transport accident in traffic accident, sequela",V487
"Unspecified car occupant injured in noncollision transport accident in traffic accident, initial encounter",V489
"Unspecified car occupant injured in noncollision transport accident in traffic accident, subsequent encounter",V489
"Unspecified car occupant injured in noncollision transport accident in traffic accident, sequela",V489
"Driver injured in collision with unspecified motor vehicles in nontraffic accident, initial encounter",V490
"Driver injured in collision with unspecified motor vehicles in nontraffic accident, subsequent encounter",V490
"Driver injured in collision with unspecified motor vehicles in nontraffic accident, sequela",V490
"Driver injured in collision with other motor vehicles in nontraffic accident, initial encounter",V490
"Driver injured in collision with other motor vehicles in nontraffic accident, subsequent encounter",V490
"Driver injured in collision with other motor vehicles in nontraffic accident, sequela",V490
"Passenger injured in collision with unspecified motor vehicles in nontraffic accident, initial encounter",V491
"Passenger injured in collision with unspecified motor vehicles in nontraffic accident, subsequent encounter",V491
"Passenger injured in collision with unspecified motor vehicles in nontraffic accident, sequela",V491
"Passenger injured in collision with other motor vehicles in nontraffic accident, initial encounter",V491
"Passenger injured in collision with other motor vehicles in nontraffic accident, subsequent encounter",V491
"Passenger injured in collision with other motor vehicles in nontraffic accident, sequela",V491
"Unspecified car occupant injured in collision with unspecified motor vehicles in nontraffic accident, initial encounter",V492
"Unspecified car occupant injured in collision with unspecified motor vehicles in nontraffic accident, subsequent encounter",V492
"Unspecified car occupant injured in collision with unspecified motor vehicles in nontraffic accident, sequela",V492
"Unspecified car occupant injured in collision with other motor vehicles in nontraffic accident, initial encounter",V492
"Unspecified car occupant injured in collision with other motor vehicles in nontraffic accident, subsequent encounter",V492
"Unspecified car occupant injured in collision with other motor vehicles in nontraffic accident, sequela",V492
"Car occupant (driver) (passenger) injured in unspecified nontraffic accident, initial encounter",V493
"Car occupant (driver) (passenger) injured in unspecified nontraffic accident, subsequent encounter",V493
"Car occupant (driver) (passenger) injured in unspecified nontraffic accident, sequela",V493
"Driver injured in collision with unspecified motor vehicles in traffic accident, initial encounter",V494
"Driver injured in collision with unspecified motor vehicles in traffic accident, subsequent encounter",V494
"Driver injured in collision with unspecified motor vehicles in traffic accident, sequela",V494
"Driver injured in collision with other motor vehicles in traffic accident, initial encounter",V494
"Driver injured in collision with other motor vehicles in traffic accident, subsequent encounter",V494
"Driver injured in collision with other motor vehicles in traffic accident, sequela",V494
"Passenger injured in collision with unspecified motor vehicles in traffic accident, initial encounter",V495
"Passenger injured in collision with unspecified motor vehicles in traffic accident, subsequent encounter",V495
"Passenger injured in collision with unspecified motor vehicles in traffic accident, sequela",V495
"Passenger injured in collision with other motor vehicles in traffic accident, initial encounter",V495
"Passenger injured in collision with other motor vehicles in traffic accident, subsequent encounter",V495
"Passenger injured in collision with other motor vehicles in traffic accident, sequela",V495
"Unspecified car occupant injured in collision with unspecified motor vehicles in traffic accident, initial encounter",V496
"Unspecified car occupant injured in collision with unspecified motor vehicles in traffic accident, subsequent encounter",V496
"Unspecified car occupant injured in collision with unspecified motor vehicles in traffic accident, sequela",V496
"Unspecified car occupant injured in collision with other motor vehicles in traffic accident, initial encounter",V496
"Unspecified car occupant injured in collision with other motor vehicles in traffic accident, subsequent encounter",V496
"Unspecified car occupant injured in collision with other motor vehicles in traffic accident, sequela",V496
"Car occupant (driver) (passenger) injured in transport accident with military vehicle, initial encounter",V498
"Car occupant (driver) (passenger) injured in transport accident with military vehicle, subsequent encounter",V498
"Car occupant (driver) (passenger) injured in transport accident with military vehicle, sequela",V498
"Car occupant (driver) (passenger) injured in other specified transport accidents, initial encounter",V498
"Car occupant (driver) (passenger) injured in other specified transport accidents, subsequent encounter",V498
"Car occupant (driver) (passenger) injured in other specified transport accidents, sequela",V498
"Car occupant (driver) (passenger) injured in unspecified traffic accident, initial encounter",V499
"Car occupant (driver) (passenger) injured in unspecified traffic accident, subsequent encounter",V499
"Car occupant (driver) (passenger) injured in unspecified traffic accident, sequela",V499
"Driver of pick-up truck or van injured in collision with pedestrian or animal in nontraffic accident, initial encounter",V500
"Driver of pick-up truck or van injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter",V500
"Driver of pick-up truck or van injured in collision with pedestrian or animal in nontraffic accident, sequela",V500
"Passenger in pick-up truck or van injured in collision with pedestrian or animal in nontraffic accident, initial encounter",V501
"Passenger in pick-up truck or van injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter",V501
"Passenger in pick-up truck or van injured in collision with pedestrian or animal in nontraffic accident, sequela",V501
"Person on outside of pick-up truck or van injured in collision with pedestrian or animal in nontraffic accident, initial encounter",V502
"Person on outside of pick-up truck or van injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter",V502
"Person on outside of pick-up truck or van injured in collision with pedestrian or animal in nontraffic accident, sequela",V502
"Unspecified occupant of pick-up truck or van injured in collision with pedestrian or animal in nontraffic accident, initial encounter",V503
"Unspecified occupant of pick-up truck or van injured in collision with pedestrian or animal in nontraffic accident, subsequent encounter",V503
"Unspecified occupant of pick-up truck or van injured in collision with pedestrian or animal in nontraffic accident, sequela",V503
"Person boarding or alighting a pick-up truck or van injured in collision with pedestrian or animal, initial encounter",V504
"Person boarding or alighting a pick-up truck or van injured in collision with pedestrian or animal, subsequent encounter",V504
"Person boarding or alighting a pick-up truck or van injured in collision with pedestrian or animal, sequela",V504
"Driver of pick-up truck or van injured in collision with pedestrian or animal in traffic accident, initial encounter",V505
"Driver of pick-up truck or van injured in collision with pedestrian or animal in traffic accident, subsequent encounter",V505
"Driver of pick-up truck or van injured in collision with pedestrian or animal in traffic accident, sequela",V505
"Passenger in pick-up truck or van injured in collision with pedestrian or animal in traffic accident, initial encounter",V506
"Passenger in pick-up truck or van injured in collision with pedestrian or animal in traffic accident, subsequent encounter",V506
"Passenger in pick-up truck or van injured in collision with pedestrian or animal in traffic accident, sequela",V506
"Person on outside of pick-up truck or van injured in collision with pedestrian or animal in traffic accident, initial encounter",V507
"Person on outside of pick-up truck or van injured in collision with pedestrian or animal in traffic accident, subsequent encounter",V507
"Person on outside of pick-up truck or van injured in collision with pedestrian or animal in traffic accident, sequela",V507
"Unspecified occupant of pick-up truck or van injured in collision with pedestrian or animal in traffic accident, initial encounter",V509
"Unspecified occupant of pick-up truck or van injured in collision with pedestrian or animal in traffic accident, subsequent encounter",V509
"Unspecified occupant of pick-up truck or van injured in collision with pedestrian or animal in traffic accident, sequela",V509
"Driver of pick-up truck or van injured in collision with pedal cycle in nontraffic accident, initial encounter",V510
"Driver of pick-up truck or van injured in collision with pedal cycle in nontraffic accident, subsequent encounter",V510
"Driver of pick-up truck or van injured in collision with pedal cycle in nontraffic accident, sequela",V510
"Passenger in pick-up truck or van injured in collision with pedal cycle in nontraffic accident, initial encounter",V511
"Passenger in pick-up truck or van injured in collision with pedal cycle in nontraffic accident, subsequent encounter",V511
"Passenger in pick-up truck or van injured in collision with pedal cycle in nontraffic accident, sequela",V511
"Person on outside of pick-up truck or van injured in collision with pedal cycle in nontraffic accident, initial encounter",V512
"Person on outside of pick-up truck or van injured in collision with pedal cycle in nontraffic accident, subsequent encounter",V512
"Person on outside of pick-up truck or van injured in collision with pedal cycle in nontraffic accident, sequela",V512
"Unspecified occupant of pick-up truck or van injured in collision with pedal cycle in nontraffic accident, initial encounter",V513
"Unspecified occupant of pick-up truck or van injured in collision with pedal cycle in nontraffic accident, subsequent encounter",V513
"Unspecified occupant of pick-up truck or van injured in collision with pedal cycle in nontraffic accident, sequela",V513
"Person boarding or alighting a pick-up truck or van injured in collision with pedal cycle, initial encounter",V514
"Person boarding or alighting a pick-up truck or van injured in collision with pedal cycle, subsequent encounter",V514
"Person boarding or alighting a pick-up truck or van injured in collision with pedal cycle, sequela",V514
"Driver of pick-up truck or van injured in collision with pedal cycle in traffic accident, initial encounter",V515
"Driver of pick-up truck or van injured in collision with pedal cycle in traffic accident, subsequent encounter",V515
"Driver of pick-up truck or van injured in collision with pedal cycle in traffic accident, sequela",V515
"Passenger in pick-up truck or van injured in collision with pedal cycle in traffic accident, initial encounter",V516
"Passenger in pick-up truck or van injured in collision with pedal cycle in traffic accident, subsequent encounter",V516
"Passenger in pick-up truck or van injured in collision with pedal cycle in traffic accident, sequela",V516
"Person on outside of pick-up truck or van injured in collision with pedal cycle in traffic accident, initial encounter",V517
"Person on outside of pick-up truck or van injured in collision with pedal cycle in traffic accident, subsequent encounter",V517
"Person on outside of pick-up truck or van injured in collision with pedal cycle in traffic accident, sequela",V517
"Unspecified occupant of pick-up truck or van injured in collision with pedal cycle in traffic accident, initial encounter",V519
"Unspecified occupant of pick-up truck or van injured in collision with pedal cycle in traffic accident, subsequent encounter",V519
"Unspecified occupant of pick-up truck or van injured in collision with pedal cycle in traffic accident, sequela",V519
"Driver of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter",V520
"Driver of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter",V520
"Driver of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela",V520
"Passenger in pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter",V521
"Passenger in pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter",V521
"Passenger in pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela",V521
"Person on outside of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter",V522
"Person on outside of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter",V522
"Person on outside of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela",V522
"Unspecified occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, initial encounter",V523
"Unspecified occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, subsequent encounter",V523
"Unspecified occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in nontraffic accident, sequela",V523
"Person boarding or alighting a pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, initial encounter",V524
"Person boarding or alighting a pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, subsequent encounter",V524
"Person boarding or alighting a pick-up truck or van injured in collision with two- or three-wheeled motor vehicle, sequela",V524
"Driver of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter",V525
"Driver of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter",V525
"Driver of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela",V525
"Passenger in pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter",V526
"Passenger in pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter",V526
"Passenger in pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela",V526
"Person on outside of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter",V527
"Person on outside of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter",V527
"Person on outside of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela",V527
"Unspecified occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter",V529
"Unspecified occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter",V529
"Unspecified occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela",V529
"Driver of pick-up truck or van injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter",V530
"Driver of pick-up truck or van injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter",V530
"Driver of pick-up truck or van injured in collision with car, pick-up truck or van in nontraffic accident, sequela",V530
"Passenger in pick-up truck or van injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter",V531
"Passenger in pick-up truck or van injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter",V531
"Passenger in pick-up truck or van injured in collision with car, pick-up truck or van in nontraffic accident, sequela",V531
"Person on outside of pick-up truck or van injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter",V532
"Person on outside of pick-up truck or van injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter",V532
"Person on outside of pick-up truck or van injured in collision with car, pick-up truck or van in nontraffic accident, sequela",V532
"Unspecified occupant of pick-up truck or van injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter",V533
"Unspecified occupant of pick-up truck or van injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter",V533
"Unspecified occupant of pick-up truck or van injured in collision with car, pick-up truck or van in nontraffic accident, sequela",V533
"Person boarding or alighting a pick-up truck or van injured in collision with car, pick-up truck or van, initial encounter",V534
"Person boarding or alighting a pick-up truck or van injured in collision with car, pick-up truck or van, subsequent encounter",V534
"Person boarding or alighting a pick-up truck or van injured in collision with car, pick-up truck or van, sequela",V534
"Driver of pick-up truck or van injured in collision with car, pick-up truck or van in traffic accident, initial encounter",V535
"Driver of pick-up truck or van injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter",V535
"Driver of pick-up truck or van injured in collision with car, pick-up truck or van in traffic accident, sequela",V535
"Passenger in pick-up truck or van injured in collision with car, pick-up truck or van in traffic accident, initial encounter",V536
"Passenger in pick-up truck or van injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter",V536
"Passenger in pick-up truck or van injured in collision with car, pick-up truck or van in traffic accident, sequela",V536
"Person on outside of pick-up truck or van injured in collision with car, pick-up truck or van in traffic accident, initial encounter",V537
"Person on outside of pick-up truck or van injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter",V537
"Person on outside of pick-up truck or van injured in collision with car, pick-up truck or van in traffic accident, sequela",V537
"Unspecified occupant of pick-up truck or van injured in collision with car, pick-up truck or van in traffic accident, initial encounter",V539
"Unspecified occupant of pick-up truck or van injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter",V539
"Unspecified occupant of pick-up truck or van injured in collision with car, pick-up truck or van in traffic accident, sequela",V539
"Driver of pick-up truck or van injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter",V540
"Driver of pick-up truck or van injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter",V540
"Driver of pick-up truck or van injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela",V540
"Passenger in pick-up truck or van injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter",V541
"Passenger in pick-up truck or van injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter",V541
"Passenger in pick-up truck or van injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela",V541
"Person on outside of pick-up truck or van injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter",V542
"Person on outside of pick-up truck or van injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter",V542
"Person on outside of pick-up truck or van injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela",V542
"Unspecified occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter",V543
"Unspecified occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter",V543
"Unspecified occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela",V543
"Person boarding or alighting a pick-up truck or van injured in collision with heavy transport vehicle or bus, initial encounter",V544
"Person boarding or alighting a pick-up truck or van injured in collision with heavy transport vehicle or bus, subsequent encounter",V544
"Person boarding or alighting a pick-up truck or van injured in collision with heavy transport vehicle or bus, sequela",V544
"Driver of pick-up truck or van injured in collision with heavy transport vehicle or bus in traffic accident, initial encounter",V545
"Driver of pick-up truck or van injured in collision with heavy transport vehicle or bus in traffic accident, subsequent encounter",V545
"Driver of pick-up truck or van injured in collision with heavy transport vehicle or bus in traffic accident, sequela",V545
"Passenger in pick-up truck or van injured in collision with heavy transport vehicle or bus in traffic accident, initial encounter",V546
"Passenger in pick-up truck or van injured in collision with heavy transport vehicle or bus in traffic accident, subsequent encounter",V546
"Passenger in pick-up truck or van injured in collision with heavy transport vehicle or bus in traffic accident, sequela",V546
"Person on outside of pick-up truck or van injured in collision with heavy transport vehicle or bus in traffic accident, initial encounter",V547
"Person on outside of pick-up truck or van injured in collision with heavy transport vehicle or bus in traffic accident, subsequent encounter",V547
"Person on outside of pick-up truck or van injured in collision with heavy transport vehicle or bus in traffic accident, sequela",V547
"Unspecified occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus in traffic accident, initial encounter",V549
"Unspecified occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus in traffic accident, subsequent encounter",V549
"Unspecified occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus in traffic accident, sequela",V549
"Driver of pick-up truck or van injured in collision with railway train or railway vehicle in nontraffic accident, initial encounter",V550
"Driver of pick-up truck or van injured in collision with railway train or railway vehicle in nontraffic accident, subsequent encounter",V550
"Driver of pick-up truck or van injured in collision with railway train or railway vehicle in nontraffic accident, sequela",V550
"Passenger in pick-up truck or van injured in collision with railway train or railway vehicle in nontraffic accident, initial encounter",V551
"Passenger in pick-up truck or van injured in collision with railway train or railway vehicle in nontraffic accident, subsequent encounter",V551
"Passenger in pick-up truck or van injured in collision with railway train or railway vehicle in nontraffic accident, sequela",V551
"Person on outside of pick-up truck or van injured in collision with railway train or railway vehicle in nontraffic accident, initial encounter",V552
"Person on outside of pick-up truck or van injured in collision with railway train or railway vehicle in nontraffic accident, subsequent encounter",V552
"Person on outside of pick-up truck or van injured in collision with railway train or railway vehicle in nontraffic accident, sequela",V552
"Unspecified occupant of pick-up truck or van injured in collision with railway train or railway vehicle in nontraffic accident, initial encounter",V553
"Unspecified occupant of pick-up truck or van injured in collision with railway train or railway vehicle in nontraffic accident, subsequent encounter",V553
"Unspecified occupant of pick-up truck or van injured in collision with railway train or railway vehicle in nontraffic accident, sequela",V553
"Person boarding or alighting a pick-up truck or van injured in collision with railway train or railway vehicle, initial encounter",V554
"Person boarding or alighting a pick-up truck or van injured in collision with railway train or railway vehicle, subsequent encounter",V554
"Person boarding or alighting a pick-up truck or van injured in collision with railway train or railway vehicle, sequela",V554
"Driver of pick-up truck or van injured in collision with railway train or railway vehicle in traffic accident, initial encounter",V555
"Driver of pick-up truck or van injured in collision with railway train or railway vehicle in traffic accident, subsequent encounter",V555
"Driver of pick-up truck or van injured in collision with railway train or railway vehicle in traffic accident, sequela",V555
"Passenger in pick-up truck or van injured in collision with railway train or railway vehicle in traffic accident, initial encounter",V556
"Passenger in pick-up truck or van injured in collision with railway train or railway vehicle in traffic accident, subsequent encounter",V556
"Passenger in pick-up truck or van injured in collision with railway train or railway vehicle in traffic accident, sequela",V556
"Person on outside of pick-up truck or van injured in collision with railway train or railway vehicle in traffic accident, initial encounter",V557
"Person on outside of pick-up truck or van injured in collision with railway train or railway vehicle in traffic accident, subsequent encounter",V557
"Person on outside of pick-up truck or van injured in collision with railway train or railway vehicle in traffic accident, sequela",V557
"Unspecified occupant of pick-up truck or van injured in collision with railway train or railway vehicle in traffic accident, initial encounter",V559
"Unspecified occupant of pick-up truck or van injured in collision with railway train or railway vehicle in traffic accident, subsequent encounter",V559
"Unspecified occupant of pick-up truck or van injured in collision with railway train or railway vehicle in traffic accident, sequela",V559
"Driver of pick-up truck or van injured in collision with other nonmotor vehicle in nontraffic accident, initial encounter",V560
"Driver of pick-up truck or van injured in collision with other nonmotor vehicle in nontraffic accident, subsequent encounter",V560
"Driver of pick-up truck or van injured in collision with other nonmotor vehicle in nontraffic accident, sequela",V560
"Passenger in pick-up truck or van injured in collision with other nonmotor vehicle in nontraffic accident, initial encounter",V561
"Passenger in pick-up truck or van injured in collision with other nonmotor vehicle in nontraffic accident, subsequent encounter",V561
"Passenger in pick-up truck or van injured in collision with other nonmotor vehicle in nontraffic accident, sequela",V561
"Person on outside of pick-up truck or van injured in collision with other nonmotor vehicle in nontraffic accident, initial encounter",V562
"Person on outside of pick-up truck or van injured in collision with other nonmotor vehicle in nontraffic accident, subsequent encounter",V562
"Person on outside of pick-up truck or van injured in collision with other nonmotor vehicle in nontraffic accident, sequela",V562
"Unspecified occupant of pick-up truck or van injured in collision with other nonmotor vehicle in nontraffic accident, initial encounter",V563
"Unspecified occupant of pick-up truck or van injured in collision with other nonmotor vehicle in nontraffic accident, subsequent encounter",V563
"Unspecified occupant of pick-up truck or van injured in collision with other nonmotor vehicle in nontraffic accident, sequela",V563
"Person boarding or alighting a pick-up truck or van injured in collision with other nonmotor vehicle, initial encounter",V564
"Person boarding or alighting a pick-up truck or van injured in collision with other nonmotor vehicle, subsequent encounter",V564
"Person boarding or alighting a pick-up truck or van injured in collision with other nonmotor vehicle, sequela",V564
"Driver of pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident, initial encounter",V565
"Driver of pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident, subsequent encounter",V565
"Driver of pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident, sequela",V565
