Unspecified maternal infectious and parasitic disease complicating the puerperium,O989
"Puncture wound with foreign body of right forearm, initial encounter",S518
"Puncture wound with foreign body of right forearm, subsequent encounter",S518
"Puncture wound with foreign body of right forearm, sequela",S518
"Puncture wound with foreign body of left forearm, initial encounter",S518
"Puncture wound with foreign body of left forearm, subsequent encounter",S518
"Puncture wound with foreign body of left forearm, sequela",S518
"Puncture wound with foreign body of unspecified forearm, initial encounter",S518
"Puncture wound with foreign body of unspecified forearm, subsequent encounter",S518
"Puncture wound with foreign body of unspecified forearm, sequela",S518
"Open bite of right forearm, initial encounter",S518
"Open bite of right forearm, subsequent encounter",S518
"Open bite of right forearm, sequela",S518
"Open bite of left forearm, initial encounter",S518
"Open bite of left forearm, subsequent encounter",S518
"Open bite of left forearm, sequela",S518
"Open bite of unspecified forearm, initial encounter",S518
"Open bite of unspecified forearm, subsequent encounter",S518
"Open bite of unspecified forearm, sequela",S518
"Unspecified fracture of upper end of right ulna, initial encounter for closed fracture",S520
"Unspecified fracture of upper end of right ulna, initial encounter for open fracture type I or II",S520
"Unspecified fracture of upper end of right ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S520
"Unspecified fracture of upper end of right ulna, subsequent encounter for closed fracture with routine healing",S520
"Unspecified fracture of upper end of right ulna, subsequent encounter for open fracture type I or II with routine healing",S520
"Unspecified fracture of upper end of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S520
"Unspecified fracture of upper end of right ulna, subsequent encounter for closed fracture with delayed healing",S520
"Unspecified fracture of upper end of right ulna, subsequent encounter for open fracture type I or II with delayed healing",S520
"Unspecified fracture of upper end of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S520
"Unspecified fracture of upper end of right ulna, subsequent encounter for closed fracture with nonunion",S520
"Unspecified fracture of upper end of right ulna, subsequent encounter for open fracture type I or II with nonunion",S520
"Unspecified fracture of upper end of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S520
"Unspecified fracture of upper end of right ulna, subsequent encounter for closed fracture with malunion",S520
"Unspecified fracture of upper end of right ulna, subsequent encounter for open fracture type I or II with malunion",S520
"Unspecified fracture of upper end of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S520
"Unspecified fracture of upper end of right ulna, sequela",S520
"Unspecified fracture of upper end of left ulna, initial encounter for closed fracture",S520
"Unspecified fracture of upper end of left ulna, initial encounter for open fracture type I or II",S520
"Unspecified fracture of upper end of left ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S520
"Unspecified fracture of upper end of left ulna, subsequent encounter for closed fracture with routine healing",S520
"Unspecified fracture of upper end of left ulna, subsequent encounter for open fracture type I or II with routine healing",S520
"Unspecified fracture of upper end of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S520
"Unspecified fracture of upper end of left ulna, subsequent encounter for closed fracture with delayed healing",S520
"Unspecified fracture of upper end of left ulna, subsequent encounter for open fracture type I or II with delayed healing",S520
"Unspecified fracture of upper end of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S520
"Unspecified fracture of upper end of left ulna, subsequent encounter for closed fracture with nonunion",S520
"Unspecified fracture of upper end of left ulna, subsequent encounter for open fracture type I or II with nonunion",S520
"Unspecified fracture of upper end of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S520
"Unspecified fracture of upper end of left ulna, subsequent encounter for closed fracture with malunion",S520
"Unspecified fracture of upper end of left ulna, subsequent encounter for open fracture type I or II with malunion",S520
"Unspecified fracture of upper end of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S520
"Unspecified fracture of upper end of left ulna, sequela",S520
"Unspecified fracture of upper end of unspecified ulna, initial encounter for closed fracture",S520
"Unspecified fracture of upper end of unspecified ulna, initial encounter for open fracture type I or II",S520
"Unspecified fracture of upper end of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S520
"Unspecified fracture of upper end of unspecified ulna, subsequent encounter for closed fracture with routine healing",S520
"Unspecified fracture of upper end of unspecified ulna, subsequent encounter for open fracture type I or II with routine healing",S520
"Unspecified fracture of upper end of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S520
"Unspecified fracture of upper end of unspecified ulna, subsequent encounter for closed fracture with delayed healing",S520
"Unspecified fracture of upper end of unspecified ulna, subsequent encounter for open fracture type I or II with delayed healing",S520
"Unspecified fracture of upper end of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S520
"Unspecified fracture of upper end of unspecified ulna, subsequent encounter for closed fracture with nonunion",S520
"Unspecified fracture of upper end of unspecified ulna, subsequent encounter for open fracture type I or II with nonunion",S520
"Unspecified fracture of upper end of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S520
"Unspecified fracture of upper end of unspecified ulna, subsequent encounter for closed fracture with malunion",S520
"Unspecified fracture of upper end of unspecified ulna, subsequent encounter for open fracture type I or II with malunion",S520
"Unspecified fracture of upper end of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S520
"Unspecified fracture of upper end of unspecified ulna, sequela",S520
"Torus fracture of upper end of right ulna, initial encounter for closed fracture",S520
"Torus fracture of upper end of right ulna, subsequent encounter for fracture with routine healing",S520
"Torus fracture of upper end of right ulna, subsequent encounter for fracture with delayed healing",S520
"Torus fracture of upper end of right ulna, subsequent encounter for fracture with nonunion",S520
"Torus fracture of upper end of right ulna, subsequent encounter for fracture with malunion",S520
"Torus fracture of upper end of right ulna, sequela",S520
"Torus fracture of upper end of left ulna, initial encounter for closed fracture",S520
"Torus fracture of upper end of left ulna, subsequent encounter for fracture with routine healing",S520
"Torus fracture of upper end of left ulna, subsequent encounter for fracture with delayed healing",S520
"Torus fracture of upper end of left ulna, subsequent encounter for fracture with nonunion",S520
"Torus fracture of upper end of left ulna, subsequent encounter for fracture with malunion",S520
"Torus fracture of upper end of left ulna, sequela",S520
"Torus fracture of upper end of unspecified ulna, initial encounter for closed fracture",S520
"Torus fracture of upper end of unspecified ulna, subsequent encounter for fracture with routine healing",S520
"Torus fracture of upper end of unspecified ulna, subsequent encounter for fracture with delayed healing",S520
"Torus fracture of upper end of unspecified ulna, subsequent encounter for fracture with nonunion",S520
"Torus fracture of upper end of unspecified ulna, subsequent encounter for fracture with malunion",S520
"Torus fracture of upper end of unspecified ulna, sequela",S520
"Displaced fracture of olecranon process without intraarticular extension of right ulna, initial encounter for closed fracture",S520
"Displaced fracture of olecranon process without intraarticular extension of right ulna, initial encounter for open fracture type I or II",S520
"Displaced fracture of olecranon process without intraarticular extension of right ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S520
"Displaced fracture of olecranon process without intraarticular extension of right ulna, subsequent encounter for closed fracture with routine healing",S520
"Displaced fracture of olecranon process without intraarticular extension of right ulna, subsequent encounter for open fracture type I or II with routine healing",S520
"Displaced fracture of olecranon process without intraarticular extension of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S520
"Displaced fracture of olecranon process without intraarticular extension of right ulna, subsequent encounter for closed fracture with delayed healing",S520
"Displaced fracture of olecranon process without intraarticular extension of right ulna, subsequent encounter for open fracture type I or II with delayed healing",S520
"Displaced fracture of olecranon process without intraarticular extension of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S520
"Displaced fracture of olecranon process without intraarticular extension of right ulna, subsequent encounter for closed fracture with nonunion",S520
"Displaced fracture of olecranon process without intraarticular extension of right ulna, subsequent encounter for open fracture type I or II with nonunion",S520
"Displaced fracture of olecranon process without intraarticular extension of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S520
"Displaced fracture of olecranon process without intraarticular extension of right ulna, subsequent encounter for closed fracture with malunion",S520
"Displaced fracture of olecranon process without intraarticular extension of right ulna, subsequent encounter for open fracture type I or II with malunion",S520
"Displaced fracture of olecranon process without intraarticular extension of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S520
"Displaced fracture of olecranon process without intraarticular extension of right ulna, sequela",S520
"Displaced fracture of olecranon process without intraarticular extension of left ulna, initial encounter for closed fracture",S520
"Displaced fracture of olecranon process without intraarticular extension of left ulna, initial encounter for open fracture type I or II",S520
"Displaced fracture of olecranon process without intraarticular extension of left ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S520
"Displaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for closed fracture with routine healing",S520
"Displaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for open fracture type I or II with routine healing",S520
"Displaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S520
"Displaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for closed fracture with delayed healing",S520
"Displaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for open fracture type I or II with delayed healing",S520
"Displaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S520
"Displaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for closed fracture with nonunion",S520
"Displaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for open fracture type I or II with nonunion",S520
"Displaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S520
"Displaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for closed fracture with malunion",S520
"Displaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for open fracture type I or II with malunion",S520
"Displaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S520
"Displaced fracture of olecranon process without intraarticular extension of left ulna, sequela",S520
"Displaced fracture of olecranon process without intraarticular extension of unspecified ulna, initial encounter for closed fracture",S520
"Displaced fracture of olecranon process without intraarticular extension of unspecified ulna, initial encounter for open fracture type I or II",S520
"Displaced fracture of olecranon process without intraarticular extension of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S520
"Displaced fracture of olecranon process without intraarticular extension of unspecified ulna, subsequent encounter for closed fracture with routine healing",S520
"Displaced fracture of olecranon process without intraarticular extension of unspecified ulna, subsequent encounter for open fracture type I or II with routine healing",S520
"Displaced fracture of olecranon process without intraarticular extension of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S520
"Displaced fracture of olecranon process without intraarticular extension of unspecified ulna, subsequent encounter for closed fracture with delayed healing",S520
"Displaced fracture of olecranon process without intraarticular extension of unspecified ulna, subsequent encounter for open fracture type I or II with delayed healing",S520
"Displaced fracture of olecranon process without intraarticular extension of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S520
"Displaced fracture of olecranon process without intraarticular extension of unspecified ulna, subsequent encounter for closed fracture with nonunion",S520
"Displaced fracture of olecranon process without intraarticular extension of unspecified ulna, subsequent encounter for open fracture type I or II with nonunion",S520
"Displaced fracture of olecranon process without intraarticular extension of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S520
"Displaced fracture of olecranon process without intraarticular extension of unspecified ulna, subsequent encounter for closed fracture with malunion",S520
"Displaced fracture of olecranon process without intraarticular extension of unspecified ulna, subsequent encounter for open fracture type I or II with malunion",S520
"Displaced fracture of olecranon process without intraarticular extension of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S520
"Displaced fracture of olecranon process without intraarticular extension of unspecified ulna, sequela",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of right ulna, initial encounter for closed fracture",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of right ulna, initial encounter for open fracture type I or II",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of right ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of right ulna, subsequent encounter for closed fracture with routine healing",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of right ulna, subsequent encounter for open fracture type I or II with routine healing",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of right ulna, subsequent encounter for closed fracture with delayed healing",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of right ulna, subsequent encounter for open fracture type I or II with delayed healing",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of right ulna, subsequent encounter for closed fracture with nonunion",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of right ulna, subsequent encounter for open fracture type I or II with nonunion",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of right ulna, subsequent encounter for closed fracture with malunion",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of right ulna, subsequent encounter for open fracture type I or II with malunion",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of right ulna, sequela",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of left ulna, initial encounter for closed fracture",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of left ulna, initial encounter for open fracture type I or II",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of left ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for closed fracture with routine healing",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for open fracture type I or II with routine healing",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for closed fracture with delayed healing",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for open fracture type I or II with delayed healing",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for closed fracture with nonunion",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for open fracture type I or II with nonunion",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for closed fracture with malunion",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for open fracture type I or II with malunion",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of left ulna, sequela",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of unspecified ulna, initial encounter for closed fracture",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of unspecified ulna, initial encounter for open fracture type I or II",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of unspecified ulna, subsequent encounter for closed fracture with routine healing",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of unspecified ulna, subsequent encounter for open fracture type I or II with routine healing",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of unspecified ulna, subsequent encounter for closed fracture with delayed healing",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of unspecified ulna, subsequent encounter for open fracture type I or II with delayed healing",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of unspecified ulna, subsequent encounter for closed fracture with nonunion",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of unspecified ulna, subsequent encounter for open fracture type I or II with nonunion",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of unspecified ulna, subsequent encounter for closed fracture with malunion",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of unspecified ulna, subsequent encounter for open fracture type I or II with malunion",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S520
"Nondisplaced fracture of olecranon process without intraarticular extension of unspecified ulna, sequela",S520
"Displaced fracture of olecranon process with intraarticular extension of right ulna, initial encounter for closed fracture",S520
"Displaced fracture of olecranon process with intraarticular extension of right ulna, initial encounter for open fracture type I or II",S520
"Displaced fracture of olecranon process with intraarticular extension of right ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S520
"Displaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for closed fracture with routine healing",S520
"Displaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for open fracture type I or II with routine healing",S520
"Displaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S520
"Displaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for closed fracture with delayed healing",S520
"Displaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for open fracture type I or II with delayed healing",S520
"Displaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S520
"Displaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for closed fracture with nonunion",S520
"Displaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for open fracture type I or II with nonunion",S520
"Displaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S520
"Displaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for closed fracture with malunion",S520
"Displaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for open fracture type I or II with malunion",S520
"Displaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S520
"Displaced fracture of olecranon process with intraarticular extension of right ulna, sequela",S520
"Displaced fracture of olecranon process with intraarticular extension of left ulna, initial encounter for closed fracture",S520
"Displaced fracture of olecranon process with intraarticular extension of left ulna, initial encounter for open fracture type I or II",S520
"Displaced fracture of olecranon process with intraarticular extension of left ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S520
"Displaced fracture of olecranon process with intraarticular extension of left ulna, subsequent encounter for closed fracture with routine healing",S520
"Displaced fracture of olecranon process with intraarticular extension of left ulna, subsequent encounter for open fracture type I or II with routine healing",S520
"Displaced fracture of olecranon process with intraarticular extension of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S520
"Displaced fracture of olecranon process with intraarticular extension of left ulna, subsequent encounter for closed fracture with delayed healing",S520
"Displaced fracture of olecranon process with intraarticular extension of left ulna, subsequent encounter for open fracture type I or II with delayed healing",S520
"Displaced fracture of olecranon process with intraarticular extension of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S520
"Displaced fracture of olecranon process with intraarticular extension of left ulna, subsequent encounter for closed fracture with nonunion",S520
"Displaced fracture of olecranon process with intraarticular extension of left ulna, subsequent encounter for open fracture type I or II with nonunion",S520
"Displaced fracture of olecranon process with intraarticular extension of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S520
"Displaced fracture of olecranon process with intraarticular extension of left ulna, subsequent encounter for closed fracture with malunion",S520
"Displaced fracture of olecranon process with intraarticular extension of left ulna, subsequent encounter for open fracture type I or II with malunion",S520
"Displaced fracture of olecranon process with intraarticular extension of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S520
"Displaced fracture of olecranon process with intraarticular extension of left ulna, sequela",S520
"Displaced fracture of olecranon process with intraarticular extension of unspecified ulna, initial encounter for closed fracture",S520
"Displaced fracture of olecranon process with intraarticular extension of unspecified ulna, initial encounter for open fracture type I or II",S520
"Displaced fracture of olecranon process with intraarticular extension of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S520
"Displaced fracture of olecranon process with intraarticular extension of unspecified ulna, subsequent encounter for closed fracture with routine healing",S520
"Displaced fracture of olecranon process with intraarticular extension of unspecified ulna, subsequent encounter for open fracture type I or II with routine healing",S520
"Displaced fracture of olecranon process with intraarticular extension of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S520
"Displaced fracture of olecranon process with intraarticular extension of unspecified ulna, subsequent encounter for closed fracture with delayed healing",S520
"Displaced fracture of olecranon process with intraarticular extension of unspecified ulna, subsequent encounter for open fracture type I or II with delayed healing",S520
"Displaced fracture of olecranon process with intraarticular extension of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S520
"Displaced fracture of olecranon process with intraarticular extension of unspecified ulna, subsequent encounter for closed fracture with nonunion",S520
"Displaced fracture of olecranon process with intraarticular extension of unspecified ulna, subsequent encounter for open fracture type I or II with nonunion",S520
"Displaced fracture of olecranon process with intraarticular extension of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S520
"Displaced fracture of olecranon process with intraarticular extension of unspecified ulna, subsequent encounter for closed fracture with malunion",S520
"Displaced fracture of olecranon process with intraarticular extension of unspecified ulna, subsequent encounter for open fracture type I or II with malunion",S520
"Displaced fracture of olecranon process with intraarticular extension of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S520
"Displaced fracture of olecranon process with intraarticular extension of unspecified ulna, sequela",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of right ulna, initial encounter for closed fracture",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of right ulna, initial encounter for open fracture type I or II",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of right ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for closed fracture with routine healing",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for open fracture type I or II with routine healing",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for closed fracture with delayed healing",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for open fracture type I or II with delayed healing",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for closed fracture with nonunion",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for open fracture type I or II with nonunion",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for closed fracture with malunion",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for open fracture type I or II with malunion",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of right ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of right ulna, sequela",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of left ulna, initial encounter for closed fracture",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of left ulna, initial encounter for open fracture type I or II",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of left ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of left ulna, subsequent encounter for closed fracture with routine healing",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of left ulna, subsequent encounter for open fracture type I or II with routine healing",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of left ulna, subsequent encounter for closed fracture with delayed healing",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of left ulna, subsequent encounter for open fracture type I or II with delayed healing",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of left ulna, subsequent encounter for closed fracture with nonunion",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of left ulna, subsequent encounter for open fracture type I or II with nonunion",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of left ulna, subsequent encounter for closed fracture with malunion",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of left ulna, subsequent encounter for open fracture type I or II with malunion",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of left ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of left ulna, sequela",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of unspecified ulna, initial encounter for closed fracture",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of unspecified ulna, initial encounter for open fracture type I or II",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of unspecified ulna, initial encounter for open fracture type IIIA, IIIB, or IIIC",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of unspecified ulna, subsequent encounter for closed fracture with routine healing",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of unspecified ulna, subsequent encounter for open fracture type I or II with routine healing",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of unspecified ulna, subsequent encounter for closed fracture with delayed healing",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of unspecified ulna, subsequent encounter for open fracture type I or II with delayed healing",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of unspecified ulna, subsequent encounter for closed fracture with nonunion",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of unspecified ulna, subsequent encounter for open fracture type I or II with nonunion",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of unspecified ulna, subsequent encounter for closed fracture with malunion",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of unspecified ulna, subsequent encounter for open fracture type I or II with malunion",S520
"Nondisplaced fracture of olecranon process with intraarticular extension of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion",S520
